update,epoch,batch,learning_rate,hinge_loss,regularization_loss,total_loss,violation_rate
1,1,1,0.04,0.9991354942321777,8.40728716866579e-10,0.9991354950729064,1.0
2,1,2,0.028284271247461898,0.9987355470657349,2.253775528515689e-09,0.9987355493195104,1.0
3,1,3,0.023094010767585032,0.9984827041625977,3.814438605331816e-09,0.9984827079770363,1.0
4,1,4,0.02,0.9982743263244629,5.387633063946851e-09,0.998274331712096,1.0
5,1,5,0.017888543819998316,0.9980493783950806,7.014814764261246e-09,0.9980493854098953,1.0
6,1,6,0.016329931618554522,0.9974369406700134,8.982780855149031e-09,0.9974369496527943,1.0
7,1,7,0.015118578920369089,0.9967511296272278,1.1274201096966863e-08,0.9967511409014289,1.0
8,1,8,0.014142135623730949,0.9971675872802734,1.3205010327510536e-08,0.9971676004852837,1.0
9,1,9,0.013333333333333334,0.9966733455657959,1.5336833894252778e-08,0.9966733609026298,1.0
10,1,10,0.012649110640673518,0.9963181614875793,1.7573402146808803e-08,0.9963181790609815,1.0
11,1,11,0.012060453783110546,0.9963337779045105,1.972189929801971e-08,0.9963337976264098,1.0
12,1,12,0.011547005383792516,0.9958392977714539,2.2054565488360824e-08,0.9958393198260194,1.0
13,1,13,0.011094003924504584,0.9961869120597839,2.4126004427671433e-08,0.9961869361857884,1.0
14,1,14,0.010690449676496976,0.9958357214927673,2.6296533178538085e-08,0.9958357477893005,1.0
15,1,15,0.010327955589886445,0.9953036308288574,2.8670122264884415e-08,0.9953036594989797,1.0
16,1,16,0.01,0.995542049407959,3.08514223434031e-08,0.9955420802593813,1.0
17,1,17,0.00970142500145332,0.9942235946655273,3.353681822773069e-08,0.9942236282023456,1.0
18,1,18,0.009428090415820635,0.9954972863197327,3.5640987334772945e-08,0.99549732196072,1.0
19,1,19,0.00917662935482247,0.9944546818733215,3.8122478872537615e-08,0.9944547199958004,1.0
20,1,20,0.008944271909999158,0.9944444298744202,4.056829493492842e-08,0.9944444704427151,1.0
21,1,21,0.008728715609439696,0.9956483840942383,4.24739089794457e-08,0.9956484265681472,1.0
22,1,22,0.008528028654224418,0.9947853684425354,4.467701946850866e-08,0.9947854131195548,1.0
23,1,23,0.008340576562282992,0.9942031502723694,4.7059432836249473e-08,0.9942031973318022,1.0
24,1,24,0.008164965809277261,0.9944324493408203,4.9310253234580164e-08,0.9944324986510735,1.0
25,1,25,0.008,0.9944028854370117,5.1533983787521724e-08,0.9944029369709955,1.0
26,1,26,0.007844645405527362,0.9939286112785339,5.388516001403332e-08,0.9939286651636939,1.0
27,1,27,0.00769800358919501,0.9935905337333679,5.6325644254684454e-08,0.9935905900590122,1.0
28,1,28,0.007559289460184544,0.9941779971122742,5.850900197401643e-08,0.9941780556212761,1.0
29,1,29,0.007427813527082075,0.9925302267074585,6.12356117926538e-08,0.9925302879430703,1.0
30,1,30,0.007302967433402215,0.9946947693824768,6.316730286926032e-08,0.9946948325497796,1.0
31,1,31,0.007184212081070997,0.9933175444602966,6.554872961714864e-08,0.9933176100090263,1.0
32,1,32,0.0070710678118654745,0.9931766986846924,6.794090149924159e-08,0.9931767666255938,1.0
33,1,33,0.006963106238227914,0.9923534393310547,7.057638722471894e-08,0.9923535099074419,1.0
34,1,34,0.006859943405700353,0.9918272495269775,7.334155961871147e-08,0.9918273228685371,1.0
35,1,35,0.006761234037828133,0.9928023815155029,7.574959890916944e-08,0.9928024572651019,1.0
36,1,36,0.006666666666666667,0.9930314421653748,7.806058856658637e-08,0.9930315202259633,1.0
37,1,37,0.006575959492214292,0.9933398365974426,8.024320704862476e-08,0.9933399168406497,1.0
