update,epoch,batch,learning_rate,binary_cross_entropy,regularization_loss,total_loss
1,1,1,0.08,0.6820245981216431,1.951264712261036e-07,0.6820247932481143
2,1,2,0.056568542494923796,0.6734468936920166,5.532039795070886e-07,0.6734474468959961
3,1,3,0.046188021535170064,0.6692827939987183,9.431822691112756e-07,0.6692837371809873
4,1,4,0.04,0.662278413772583,1.3934241142123938e-06,0.6622798071966972
5,1,5,0.03577708763999663,0.6565341949462891,1.8931255908682943e-06,0.6565360880718799
6,1,6,0.032659863237109045,0.6540426015853882,2.415757393464446e-06,0.6540450173427816
7,1,7,0.030237157840738178,0.6535422801971436,2.866464434191585e-06,0.6535451466615777
8,1,8,0.028284271247461898,0.6446077823638916,3.404794493690133e-06,0.6446111871583853
9,1,9,0.02666666666666667,0.6455764770507812,3.900259966030717e-06,0.6455803773107472
10,1,10,0.025298221281347035,0.6421803832054138,4.432213492691517e-06,0.6421848154189065
11,1,11,0.02412090756622109,0.639987587928772,4.910014104098082e-06,0.639992497942876
12,1,12,0.023094010767585032,0.6410590410232544,5.356616340577603e-06,0.641064397639595
13,1,13,0.022188007849009168,0.6332952976226807,5.830657202750444e-06,0.6333011282798834
14,1,14,0.021380899352993952,0.6322594285011292,6.36091735213995e-06,0.6322657894184813
15,1,15,0.02065591117977289,0.624742329120636,6.920203566551208e-06,0.6247492493242025
16,1,16,0.02,0.6285499930381775,7.375720888376236e-06,0.6285573687590659
17,2,1,0.01940285000290664,0.6250022053718567,7.881692610681057e-06,0.6250100870644674
18,2,2,0.01885618083164127,0.6274513006210327,8.36772471666336e-06,0.6274596683457494
19,2,3,0.01835325870964494,0.6206915974617004,8.857103064656258e-06,0.6207004545647651
20,2,4,0.017888543819998316,0.6145380735397339,9.393655695021153e-06,0.6145474671954289
21,2,5,0.017457431218879393,0.6191574931144714,9.8499720916152e-06,0.6191673430865631
22,2,6,0.017056057308448835,0.6158007979393005,1.03400107473135e-05,0.6158111379500478
23,2,7,0.016681153124565983,0.6104187965393066,1.0829542763531208e-05,0.6104296260820702
24,2,8,0.016329931618554522,0.6094834208488464,1.1360451579093934e-05,0.6094947813004256
25,2,9,0.016,0.6149575710296631,1.181355956941843e-05,0.6149693845892326
26,2,10,0.015689290811054725,0.6109247207641602,1.2283449061214924e-05,0.6109370042132214
27,2,11,0.01539600717839002,0.6085885167121887,1.2736870907247067e-05,0.6086012535830959
28,2,12,0.015118578920369089,0.6047582030296326,1.3253609649837017e-05,0.6047714566392824
29,2,13,0.01485562705416415,0.6100823879241943,1.372027862817049e-05,0.6100961082028225
30,2,14,0.01460593486680443,0.6024684906005859,1.4217166230082513e-05,0.602482707766816
31,2,15,0.014368424162141994,0.6057305335998535,1.4669684693217277e-05,0.6057452032845467
32,2,16,0.014142135623730949,0.5980149507522583,1.5167824923992157e-05,0.5980301185771822
33,3,1,0.013926212476455828,0.6008938550949097,1.5613609924912453e-05,0.6009094687048345
34,3,2,0.013719886811400706,0.5919639468193054,1.6127195209264755e-05,0.5919800740145147
35,3,3,0.013522468075656265,0.5950578451156616,1.658398099243641e-05,0.5950744290966541
36,3,4,0.013333333333333334,0.5931940078735352,1.7071686685085296e-05,0.5932110795602202
37,3,5,0.013151918984428584,0.5928088426589966,1.7558295279741288e-05,0.5928264009542763
38,3,6,0.012977713690461004,0.5973213315010071,1.8000276759266855e-05,0.5973393317777663
39,3,7,0.012810252304406971,0.5944535136222839,1.850014179944992e-05,0.5944720137640834
40,3,8,0.012649110640673518,0.589009702205658,1.896781474351883e-05,0.5890286700204015
41,3,9,0.012493900951088486,0.5936802625656128,1.9394880160689355e-05,0.5936996574457735
42,3,10,0.012344267996967353,0.5893709659576416,1.987893506884575e-05,0.5893908448927104
43,3,11,0.012199885626608373,0.5901011824607849,2.0287588238716127e-05,0.5901214700490236
44,3,12,0.012060453783110546,0.5899791717529297,2.0722990855574608e-05,0.5899998947437852
45,3,13,0.011925695879998878,0.5901870131492615,2.1126894280314447e-05,0.5902081400435418
46,3,14,0.011795356492391771,0.5871667265892029,2.1586960181593895e-05,0.5871883135493845
47,3,15,0.011669199319831566,0.5878016948699951,2.200600504875183e-05,0.5878237008750439
48,3,16,0.011547005383792516,0.5797737836837769,2.249429188668728e-05,0.5797962779756636
49,4,1,0.011428571428571429,0.5796394348144531,2.2938985377550124e-05,0.5796623737998307
50,4,2,0.01131370849898476,0.5835869312286377,2.334444783627987e-05,0.5836102756764739
51,4,3,0.011202240672224077,0.5778237581253052,2.381022647023201e-05,0.5778475683517754
52,4,4,0.011094003924504584,0.577694833278656,2.424573339521885e-05,0.5777190790120512
53,4,5,0.010988845115895122,0.579082727432251,2.473735809326172e-05,0.5791074647903443
54,4,6,0.010886621079036348,0.5826888680458069,2.5109127163887025e-05,0.5827139771729708
55,4,7,0.010787197799411874,0.570716381072998,2.560923993587494e-05,0.5707419903129339
56,4,8,0.010690449676496976,0.5800285339355469,2.6004286482930183e-05,0.5800545382220298
57,4,9,0.01059625885652035,0.5808142423629761,2.6438284665346145e-05,0.5808406806476414
58,4,10,0.010504514628777804,0.5784058570861816,2.6880847290158272e-05,0.5784327379334718
59,4,11,0.01041511287846591,0.5669959783554077,2.7321550995111467e-05,0.5670232999064029
60,4,12,0.010327955589886445,0.5767430067062378,2.7726659551262857e-05,0.5767707333657891
61,4,13,0.010242950394631679,0.5791390538215637,2.803696133196354e-05,0.5791670907828956
62,4,14,0.01016001016001524,0.5735547542572021,2.8488440439105033e-05,0.5735832426976413
63,4,15,0.010079052613579392,0.5659104585647583,2.892189845442772e-05,0.5659393804632127
64,4,16,0.01,0.5655717849731445,2.937985211610794e-05,0.5656011648252607
65,5,1,0.009922778767136677,0.568123996257782,2.977444790303707e-05,0.5681537707056851
66,5,2,0.009847319278346619,0.5641304850578308,3.021678701043129e-05,0.5641607018448412
67,5,3,0.009773555548504417,0.5740376710891724,3.055748715996742e-05,0.5740682285763323
68,5,4,0.00970142500145332,0.5647969245910645,3.1061507761478425e-05,0.5648279860988259
69,5,5,0.009630868246861535,0.5694420337677002,3.148836642503739e-05,0.5694735221341253
70,5,6,0.00956182887467515,0.5647623538970947,3.190989047288895e-05,0.5647942637875676
71,5,7,0.009494253265550825,0.5710926055908203,3.222923725843429e-05,0.5711248348280787
72,5,8,0.009428090415820635,0.5633167624473572,3.2573435455560683e-05,0.5633493358828128
73,5,9,0.009363291775690447,0.5584844350814819,3.2988201826810835e-05,0.5585174232833088
74,5,10,0.009299811099505543,0.5565522909164429,3.3471651375293735e-05,0.5565857625678181
75,5,11,0.009237604307034011,0.5633241534233093,3.3855874091386796e-05,0.5633580092974008
76,5,12,0.00917662935482247,0.5615211725234985,3.421531617641449e-05,0.561555387839675
77,5,13,0.009116846116771035,0.5659843683242798,3.463353589177132e-05,0.5660190018601715
78,5,14,0.009058216273156765,0.5581014752388,3.506532311439514e-05,0.5581365405619144
79,5,15,0.009000703207408192,0.5669379234313965,3.5481296479701996e-05,0.5669734047278762
80,5,16,0.008944271909999158,0.5546620488166809,3.58719602227211e-05,0.5546979207769036
81,6,1,0.008888888888888889,0.5556833148002625,3.625593334436417e-05,0.5557195707336068
82,6,2,0.008834522085987723,0.560835599899292,3.660639375448227e-05,0.5608722062930465
83,6,3,0.008781140799175228,0.5635818839073181,3.699462115764618e-05,0.5636188785284758
84,6,4,0.008728715609439696,0.556317150592804,3.7402465939521793e-05,0.5563545530587435
85,6,5,0.008677218312746248,0.5575580596923828,3.778724744915962e-05,0.557595846939832
86,6,6,0.008626621856275073,0.5574253797531128,3.817656263709069e-05,0.5574635563157498
87,6,7,0.008576900278702358,0.546455979347229,3.86241003870964e-05,0.5464946034476161
88,6,8,0.008528028654224418,0.5551334619522095,3.8996256887912754e-05,0.5551724582090973
89,6,9,0.008479983040050881,0.5563801527023315,3.937603160738945e-05,0.556419528733939
90,6,10,0.008432740427115679,0.5656189322471619,3.97060364484787e-05,0.5656586382836103
91,6,11,0.008386278693775347,0.5545434355735779,4.005393385887146e-05,0.5545834895074367
92,6,12,0.008340576562282992,0.545554518699646,4.049263522028923e-05,0.5455950113348663
93,6,13,0.008295613557843402,0.5490744113922119,4.088146612048149e-05,0.5491152928583324
94,6,14,0.008251369970070347,0.5484950542449951,4.1238900274038315e-05,0.5485362931452692
95,6,15,0.008207826816681234,0.546226978302002,4.165505990386009e-05,0.5462686333619058
96,6,16,0.008164965809277261,0.5470765829086304,4.20452393591404e-05,0.5471186281479895
97,7,1,0.008122769321068953,0.5574510097503662,4.239781573414803e-05,0.5574934075661003
98,7,2,0.008081220356417685,0.545831561088562,4.276707023382187e-05,0.5458743281587959
99,7,3,0.008040302522073698,0.5566696524620056,4.312337934970856e-05,0.5567127758413554
100,7,4,0.008,0.5442573428153992,4.35168594121933e-05,0.5443008596748113
101,7,5,0.007960297521679913,0.5443897247314453,4.386470466852188e-05,0.5444335894361139
102,7,6,0.007921180343813394,0.5475757122039795,4.4224135577678684e-05,0.5476199363395572
103,7,7,0.007882634225314347,0.5427364110946655,4.457665607333183e-05,0.5427809877507389
104,7,8,0.007844645405527362,0.5477186441421509,4.4963959604501725e-05,0.5477636081017554
105,7,9,0.007807200583588266,0.5460392236709595,4.5358791947364805e-05,0.5460845824629068
106,7,10,0.007770286898858113,0.5455466508865356,4.5727305114269256e-05,0.54559237819165
107,7,11,0.007733891912365308,0.5553431510925293,4.604284465312958e-05,0.5553891939371824
108,7,12,0.00769800358919501,0.5412965416908264,4.642113670706749e-05,0.5413429628275335
109,7,13,0.007662610281769211,0.535205602645874,4.680311307311058e-05,0.5352524057589472
110,7,14,0.007627700713964738,0.5400035977363586,4.7183193266391753e-05,0.540050780929625
111,7,15,0.007593263966019993,0.5431207418441772,4.756615310907364e-05,0.5431683079972863
112,7,16,0.007559289460184544,0.5347473621368408,4.793211445212364e-05,0.5347952942512929
113,8,1,0.007525766947068778,0.5408222675323486,4.8272099345922474e-05,0.5408705396316945
114,8,2,0.007492686492653552,0.5506108403205872,4.860692843794823e-05,0.5506594472490252
115,8,3,0.007460038465922511,0.5479375720024109,4.8924095928668974e-05,0.5479864960983396
116,8,4,0.007427813527082075,0.5395535826683044,4.9305159598588946e-05,0.539602887827903
117,8,5,0.007396002616336388,0.5422219634056091,4.964851960539818e-05,0.5422716119252146
118,8,6,0.007364596943186587,0.5305030345916748,5.00163733959198e-05,0.5305530509650708
119,8,7,0.007333587976225691,0.5327053666114807,5.0379581749439244e-05,0.5327557461932302
120,8,8,0.007302967433402215,0.5380815267562866,5.069119483232498e-05,0.538132217951119
121,8,9,0.007272727272727273,0.5474646687507629,5.105407536029816e-05,0.5475157228261233
122,8,10,0.007242859683401482,0.5363005995750427,5.1441531628370284e-05,0.5363520411066711
123,8,11,0.007213357077339458,0.5342663526535034,5.183342471718788e-05,0.5343181860782206
124,8,12,0.007184212081070997,0.5445146560668945,5.214063450694084e-05,0.5445667967014015
125,8,13,0.007155417527999326,0.5316069722175598,5.251374840736389e-05,0.5316594859659671
126,8,14,0.007126966450997984,0.5300869941711426,5.288703739643097e-05,0.530139881208539
127,8,15,0.007098852075328911,0.5261490941047668,5.3250771015882494e-05,0.5262023448757828
128,8,16,0.0070710678118654745,0.5413501858711243,5.354529619216919e-05,0.5414037311673164
